"date","message","Number of files","Number of lines","0 - Ruby","1 - YAML","2 - ERB","3 - SASS","4 - JavaScript"
"2015-08-28 10:27:37 +0000","Remove specialist route  The route doesn't exist in the router so nothing will ever get sent to it. This was also added, I believe, before go live, and has never actually been used publicly.","2483","138026","76119","24348","14598","11857","9564"
"2015-08-26 16:46:16 +0100","Move `Reorder groups` button  The `Add` button gets covered up by the `Reorder groups` button if:   1. a document collection group heading is long   2. the browser width is reduced  zendesk ticket: https://govuk.zendesk.com/tickets/1127310","2480","137976","76098","24348","14569","11857","9564"
"2015-08-14 10:22:43 +0100","Consolidate units and use SASS variables where possible  This now mostly uses $gutter-x and $border-colour.","2480","137831","75951","24348","14569","11859","9564"
"2015-08-07 12:15:13 +0100","Merge pull request #2302 from alphagov/fix-bulk-republishing  Fix bulk republishing","2477","137747","75895","24348","14569","11829","9564"
"2015-07-31 12:39:40 +0100","Merge pull request #2295 from alphagov/truncate_wide_csv_when_viewing_online  Gracefully handle really wide CSV attachments","2476","137683","75818","24347","14583","11829","9564"
"2015-07-16 16:30:31 +0100","Use ERDF logo from asset-manager  In #2280 we made the detailed guides use the logo URL from the database. Using assets from `app/assets` directly will cause problems because there is no reference in the code to this image anymore, so the image could be deleted in the future.  This commit changes the database URL to a static, never-to-be-deleted, version uploaded via the asset-manager.","2582","143470","81203","24548","14718","11869","9590"
"2015-07-08 12:58:23 +0000","Data hygiene task to bulk tag documents to topics  Add a data hygiene task to bulk add topics (aka specialist_sectors) to documents.  This will be used as part of the migration away from detailed guide categories.","2580","143420","81146","24548","14719","11877","9588"
"2015-07-06 16:58:07 +0100","Merge pull request #2249 from alphagov/rename_topics_to_policy_areas  Rename Topic to PolicyArea in views","2581","144080","81053","25302","14719","11877","9588"
"2015-07-02 12:04:34 +0100","Merge pull request #2244 from alphagov/remove-document-page-sass  Tidy up document-page stylesheet","2581","144050","81025","25302","14719","11875","9588"
"2015-06-19 11:26:52 +0100","Update date formats in governments feature  The governments table already used the `.to_s(:govuk_date)` feature, even though those date formats weren’t present without the admin gem.  Now the gem is included these dates render in a user friendly way and the tests can be updated.","2582","144095","81022","25302","14698","11944","9588"
"2015-06-15 17:06:38 +0100","Cleanup policy groups index and form  * Use Bootstrap 3 grid classes * Add missing `btn-default` class","2582","144180","81077","25302","14714","11958","9588"
"2015-06-11 10:55:55 +0100","Cleanup edition unpublish/withdraw forms  * Remove grid classes * Put form in well to match other editing interfaces * Use Bootstrap 3 radio classes * Remove strong tags from label text","2587","144602","81081","25302","14818","12287","9573"
"2015-06-11 10:32:49 +0000","Tidy up document-page stylesheet  The only page which still uses the `.document_page` class is the detailed guide page. Move the Sass from the `.document_page` into the detailed guide Sass file so it is clearer as to what is effected by the Sass.","2575","144223","80770","25302","14697","12340","9573"
"2015-06-02 11:43:21 +0100","Remove supporting pages code.  Plus some policy code where it intersects.","2599","147092","82782","25650","14864","12625","9630"
